kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
日	['ジツ', 'ニチ']	['-か', '-び', 'ひ']	4	['Japan', 'counter for days', 'day', 'sun']	['あ', 'あき', 'いる', 'く', 'くさ', 'こう', 'す', 'たち', 'に', 'にっ', 'につ', 'へ']	day	4	1	[]	65E5
一	['イチ', 'イツ']	['ひと-', 'ひと.つ']	1	['one', 'one radical (no.1)']	['い', 'いっ', 'いる', 'かず', 'かつ', 'かづ', 'てん', 'はじめ', 'ひ', 'ひとつ', 'まこと']	one	4	1	[]	4E00
国	['コク']	['くに']	8	['country']	['くな', 'こ']	country	4	2	[]	56FD
人	['ジン', 'ニン']	['-と', '-り', 'ひと']	2	['person']	['じ', 'と', 'ね', 'ひこ', 'ふみ']	person	4	1	[]	4EBA
年	['ネン']	['とし']	6	['counter for years', 'year']	['ね']	year	4	1	[]	5E74
大	['タイ', 'ダイ']	['-おお.いに', 'おお-', 'おお.きい']	3	['big', 'large']	['うふ', 'お', 'おう', 'た', 'たかし', 'とも', 'はじめ', 'ひろ', 'ひろし', 'まさ', 'まさる', 'もと', 'わ']	large	4	1	[]	5927
十	['ジッ', 'ジュウ', 'ジュッ']	['そ', 'と', 'とお']	2	['ten']	['い', 'か', 'ぎ', 'さ', 'し', 'そ', 'そう', 'ち', 'とう', 'ね', 'ま', 'る', 'わ']	ten	4	1	[]	5341
二	['ジ', 'ニ']	['ふた', 'ふた.つ', 'ふたたび']	2	['two', 'two radical (no. 7)']	['おと', 'つぎ', 'つぐ', 'にい', 'は', 'ふ', 'ふたつ', 'ふだ', 'わ']	two	4	1	[]	4E8C
本	['ホン']	['もと']	5	['book', 'counter for long cylindrical things', 'main', 'origin', 'present', 'real', 'true']	['ごう', 'まと']	book	4	1	[]	672C
中	['チュウ']	['あた.る', 'うち', 'なか']	4	['center', 'in', 'inside', 'mean', 'middle']	['あたる', 'かなえ']	in	4	1	[]	4E2D
長	['チョウ']	['おさ', 'なが.い']	8	['leader', 'long', 'senior', 'superior']	['お', 'おしゃ', 'たかし', 'たけ', 'な', 'は', 'ひさ']	long	4	2	[]	9577
出	['シュツ', 'スイ']	['-だ.す', '-で', 'い.だす', 'い.でる', 'だ.す', 'で.る']	5	['come out', 'exit', 'go out', 'leave', 'protrude', 'put out']	['いず', 'いづ', 'いで', 'じ', 'すっ', 'すつ', 'てん']	exit	4	1	[]	51FA
三	['サン', 'ゾウ']	['み', 'み.つ', 'みっ.つ']	3	['three']	['か', 'さ', 'さい', 'さえ', 'さぶ', 'ざ', 'ざえ', 'ざぶ', 'そう', 'ぞ', 'ただ', 'みつ', 'みん', 'も', 'や']	three	4	1	[]	4E09
時	['ジ']	['-どき', 'とき']	10	['hour', 'time']	['と', 'とぎ']	time	4	2	[]	6642
行	['アン', 'ギョウ', 'コウ']	['-い.き', '-いき', '-ゆ.き', '-ゆき', 'い.く', 'おこ.なう', 'おこな.う', 'ゆ.く']	6	['act', 'bank', 'carry out', 'conduct', 'going', 'journey', 'line', 'row']	['いく', 'なみ', 'なめ', 'みち', 'ゆき', 'ゆく']	going	4	2	[]	884C
見	['ケン']	['み.える', 'み.せる', 'み.る']	7	['chances', 'hopes', 'idea', 'look at', 'opinion', 'see', 'visible']	[]	see	4	1	[]	898B
月	['ガツ', 'ゲツ']	['つき']	4	['month', 'moon']	['おと', 'がっ', 'す', 'ずき', 'もり']	month	4	1	[]	6708
後	['コウ', 'ゴ']	['あと', 'うし.ろ', 'うしろ', 'おく.れる', 'のち']	9	['back', 'behind', 'later']	['こし', 'し', 'しい', 'しり']	behind	4	2	[]	5F8C
前	['ゼン']	['-まえ', 'まえ']	9	['before', 'in front']	['さき', 'さと', 'まい']	in front	4	2	[]	524D
生	['ショウ', 'セイ']	['-う', 'い.かす', 'い.きる', 'い.ける', 'う.まれ', 'う.まれる', 'う.む', 'うま.れる', 'うまれ', 'お.う', 'き', 'な.す', 'な.る', 'なま', 'なま-', 'は.える', 'は.やす', 'む.す']	5	['birth', 'genuine', 'life']	['あさ', 'いき', 'いく', 'いけ', 'うぶ', 'うまい', 'え', 'おい', 'ぎゅう', 'くるみ', 'ごせ', 'さ', 'じょう', 'すぎ', 'そ', 'そう', 'ちる', 'なば', 'にう', 'にゅう', 'ふ', 'み', 'もう', 'よい', 'りゅう']	life	4	1	[]	751F
五	['ゴ']	['いつ', 'いつ.つ']	4	['five']	['い', 'さ', 'さつ', 'ち', 'ふ', 'み', 'め']	five	4	1	[]	4E94
間	['カン', 'ケン']	['あい', 'あいだ', 'ま']	12	['interval', 'space']	['ちか', 'は', 'はざ', 'はし']	interval	4	2	[]	9593
上	['シャン', 'ショウ', 'ジョウ']	['-あ.がり', '-あ.がる', '-あ.げる', '-うえ', 'あ.がり', 'あ.がる', 'あ.げる', 'うえ', 'うわ-', 'かみ', 'たてまつ.る', 'のぼ.す', 'のぼ.せる', 'のぼ.り', 'のぼ.る']	3	['above', 'up']	['あおい', 'あげ', 'い', 'か', 'かき', 'かず', 'かん', 'こう', 'のぼり', 'ほつ']	above	4	1	[]	4E0A
東	['トウ']	['ひがし']	8	['east']	['あい', 'あがり', 'あずま', 'あづま', 'こち', 'さき', 'しの', 'とお', 'はる', 'ひが', 'もと']	east	4	2	[]	6771
四	['シ']	['よ', 'よ.つ', 'よっ.つ', 'よん']	5	['four']	['あ', 'つ', 'よつ']	four	4	1	[]	56DB
今	['キン', 'コン']	['いま']	4	['now']	['な']	now	4	2	[]	4ECA
金	['キン', 'コン', 'ゴン']	['-がね', 'かな-', 'かね']	8	['gold']	['かん', 'きむ', 'こ', 'この', 'ん']	gold	4	1	[]	91D1
九	['キュウ', 'ク']	['ここの', 'ここの.つ']	2	['nine']	['いちじく', 'いちのく', 'この', 'ひさし']	nine	4	1	[]	4E5D
入	['ジュ', 'ニュウ']	['-い.り', '-い.る', '-い.れ', 'い.る', 'い.れる', 'はい.る']	2	['enter', 'insert']	['いり', 'いる', 'に', 'の', 'りり']	enter	4	1	[]	5165
学	['ガク']	['まな.ぶ']	8	['learning', 'science', 'study']	['たか', 'のり']	study	4	1	[]	5B66
高	['コウ']	['-だか', 'たか', 'たか.い', 'たか.まる', 'たか.める']	10	['expensive', 'high', 'tall']	['か', 'こ', 'じょい', 'た', 'はか']	tall	4	2	[]	9AD8
円	['エン']	['まど', 'まど.か', 'まる', 'まる.い', 'まろ.やか']	4	['circle', 'round', 'yen']	['つぶら', 'のぶ', 'まどか', 'みつ']	circle	4	1	[]	5186
子	['シ', 'ス', 'ツ']	['-こ', 'こ', 'ね']	3	['11PM-1AM', 'child', 'first sign of Chinese zodiac', 'sign of the rat']	['い', 'き', 'ぎ', 'く', 'け', 'ねっ']	child	4	1	[]	5B50
外	['ガイ', 'ゲ']	['そと', 'と-', 'はず.す', 'はず.れる', 'ほか']	5	['outside']	['うい', 'け', 'ふか']	outside	4	2	[]	5916
八	['ハチ', 'ハツ']	['や', 'や.つ', 'やっ.つ', 'よう']	2	['eight', 'eight radical (no. 12)']	['な', 'は', 'はっ', 'やち', 'やつ']	eight	4	1	[]	516B
六	['リク', 'ロク']	['む', 'む.つ', 'むい', 'むっ.つ']	4	['six']	['く', 'むつ', 'ろっ', 'ろつ']	six	4	1	[]	516D
下	['カ', 'ゲ']	['-くだ.す', 'お.りる', 'お.ろす', 'くだ.さる', 'くだ.す', 'くだ.り', 'くだ.る', 'さ.がる', 'さ.げる', 'した', 'しも', 'もと']	3	['below', 'descend', 'down', 'give', 'inferior', 'low']	['さか', 'しと']	below	4	1	[]	4E0B
来	['タイ', 'ライ']	['き', 'き.たす', 'き.たる', 'きた.す', 'きた.る', 'く.る', 'こ']	7	['become', 'cause', 'come', 'due', 'next']	['くり', 'くる', 'ごろ', 'さ']	come	4	2	[]	6765
気	['キ', 'ケ']	['き']	6	['air', 'atmosphere', 'mind', 'mood', 'spirit']	[]	spirit	4	1	[]	6C17
小	['ショウ']	['お-', 'こ-', 'さ-', 'ちい.さい']	3	['little', 'small']	['いさら', 'こう', 'さざ', 'しゃお', 'ちいさ']	little	4	1	[]	5C0F
七	['シチ']	['なな', 'なな.つ', 'なの']	2	['seven']	['し', 'しっ', 'な', 'ひち']	seven	4	1	[]	4E03
山	['サン', 'セン']	['やま']	3	['mountain']	['さ', 'やの', 'やん']	mountain	4	1	[]	5C71
話	['ワ']	['はな.す', 'はなし']	13	['tale', 'talk']	[]	tale	4	2	[]	8A71
女	['ジョ', 'ニョ', 'ニョウ']	['おんな', 'め']	3	['female', 'woman']	['おな', 'た', 'つき', 'な']	woman	4	1	[]	5973
北	['ホク']	['きた']	5	['north']	['きら', 'ほう', 'ほっ', 'ほつ']	north	4	2	[]	5317
午	['ゴ']	['うま']	4	['11AM-1PM', 'noon', 'seventh sign of Chinese zodiac', 'sign of the horse']	[]	noon	4	2	[]	5348
百	['ヒャク', 'ビャク']	['もも']	6	['hundred']	['お', 'ど', 'どう', 'なり', 'ひゃっ', 'ひゅく', 'も', 'もんど', 'ゆう']	hundred	4	1	[]	767E
書	['ショ']	['-が.き', '-がき', 'か.く']	10	['write']	['かき']	write	4	2	[]	66F8
先	['セン']	['さき', 'ま.ず']	6	['ahead', 'before', 'future', 'precedence', 'previous']	['ぽん']	before	4	1	[]	5148
名	['ミョウ', 'メイ']	['-な', 'な']	6	['distinguished', 'name', 'noted', 'reputation']	['と']	name	4	1	[]	540D
川	['セン']	['かわ']	3	['river', 'river or three-stroke river radical (no. 47)', 'stream']	['か', 'こ', 'さわ']	stream	4	1	[]	5DDD
千	['セン']	['ち']	3	['thousand']	['かず', 'ゆき']	thousand	4	1	[]	5343
水	['スイ']	['みず', 'みず-']	4	['water']	['うず', 'ずみ', 'つ', 'ど', 'み', 'みさ', 'みつ', 'みな', 'みん']	water	4	1	[]	6C34
半	['ハン']	['なか.ば']	5	['half', 'middle', 'odd number', 'part-', 'semi-']	['は']	half	4	2	[]	534A
男	['ダン', 'ナン']	['お', 'おとこ']	7	['male']	['み']	male/man	4	1	[]	7537
西	['サイ', 'ス', 'セイ']	['にし']	6	['Spain', 'west']	['いり', 'ひし', 'むら']	west	4	2	[]	897F
電	['デン']	[]	13	['electricity']	[]	electricity	4	2	[]	96FB
校	['キョウ', 'コウ']	[]	10	['correction', 'exam', 'printing', 'proof', 'school']	['めん']	exam	4	1	[]	6821
語	['ゴ']	['かた.らう', 'かた.る']	14	['language', 'speech', 'word']	[]	word	4	2	[]	8A9E
土	['ト', 'ド']	['つち']	3	['Turkey', 'earth', 'ground', 'soil']	['つく', 'は', 'ひじ']	soil	4	1	[]	571F
木	['ボク', 'モク']	['き', 'こ-']	4	['tree', 'wood']	['ぐ', 'も', 'もと']	tree	4	1	[]	6728
聞	['ブン', 'モン']	['き.く', 'き.こえる']	14	['ask', 'hear', 'listen']	[]	hear	4	2	[]	805E
食	['ショク', 'ジキ']	['く.う', 'く.らう', 'た.べる', 'は.む']	9	['eat', 'food']	['ぐい']	eat	4	2	[]	98DF
車	['シャ']	['くるま']	7	['car']	['くら', 'くろま']	car	4	1	[]	8ECA
何	['カ']	['なに', 'なに-', 'なん', 'なん-']	7	['what']	['あが']	what	4	2	[]	4F55
南	['ナ', 'ナン']	['みなみ']	9	['south']	['なみ', 'は', 'みな', 'みまみ']	south	4	2	[]	5357
万	['バン', 'マン']	['よろず']	3	['10,000', 'ten thousand']	['かず', 'ま', 'ゆる']	ten thousand	4	2	[]	4E07
毎	['マイ']	['-ごと.に', 'ごと']	6	['every']	['つね']	every	4	2	[]	6BCE
白	['ハク', 'ビャク']	['しら-', 'しろ', 'しろ.い']	5	['white']	['あき', 'か', 'はっ']	white	4	1	[]	767D
天	['テン']	['あま-', 'あまつ', 'あめ']	4	['heavens', 'imperial', 'sky']	['あき', 'あも', 'た', 'たかし', 'て', 'なま']	heavens	4	1	[]	5929
母	['ボ']	['はは', 'も']	5	['mother']	[]	mama	4	2	[]	6BCD
火	['カ']	['-び', 'ひ', 'ほ-']	4	['fire']	[]	fire	4	1	[]	706B
右	['ウ', 'ユウ']	['みぎ']	5	['right']	['あき', 'すけ']	right	4	1	[]	53F3
読	['トウ', 'トク', 'ドク']	['-よ.み', 'よ.む']	14	['read']	['よみ']	read	4	2	[]	8AAD
友	['ユウ']	['とも']	4	['friend']	['う', 'ど', 'ゆ']	friend	4	2	[]	53CB
左	['サ', 'シャ']	['ひだり']	5	['left']	['そ']	left	4	1	[]	5DE6
休	['キュウ']	['やす.まる', 'やす.む', 'やす.める']	6	['day off', 'rest', 'retire', 'sleep']	[]	rest	4	1	[]	4F11
父	['フ']	['ちち']	4	['father']	[]	father	4	2	[]	7236
雨	['ウ']	['-さめ', 'あま-', 'あめ']	8	['rain']	[]	rain	4	1	[]	96E8
会	['エ', 'カイ']	['あ.う', 'あ.わせる', 'あつ.まる']	6	['association', 'interview', 'join', 'meet', 'meeting', 'party']	['あい', 'い']	meeting	4	2	[]	4F1A
同	['ドウ']	['おな.じ']	6	['agree', 'equal', 'same']	[]	same	3	2	[]	540C
事	['ジ', 'ズ']	['こと', 'つか.う', 'つか.える']	8	['business', 'fact', 'matter', 'possibly', 'reason', 'thing']	['ろ']	matter	3	3	[]	4E8B
自	['シ', 'ジ']	['おの.ずから', 'おの.ずと', 'みずか.ら']	6	['oneself']	['より']	oneself	3	2	[]	81EA
社	['シャ']	['やしろ']	7	['association', 'company', 'firm', 'office', 'shrine']	['こそ']	company	4	2	[]	793E
発	['ハツ', 'ホツ']	['あば.く', 'おこ.る', 'た.つ', 'つか.わす', 'はな.つ']	9	['counter for gunshots', 'departure', 'discharge', 'disclose', 'emit', 'publish', 'start from']	['ば', 'わ']	discharge	3	3	[]	767A
者	['シャ']	['もの']	8	['person', 'someone']	[]	someone	3	3	[]	8005
地	['ジ', 'チ']	[]	6	['earth', 'ground']	['どま']	ground	3	2	[]	5730
業	['ギョウ', 'ゴウ']	['わざ']	13	['arts', 'business', 'performance', 'vocation']	['なり', 'のぶ']	business/profession	3	3	[]	696D
方	['ホウ']	['-かた', '-がた', 'かた']	4	['alternative', 'direction', 'person']	['から', 'な', 'なた', 'ふさ', 'まさ', 'みち', 'も', 'わ']	direction	3	2	[]	65B9
新	['シン']	['あたら.しい', 'あら-', 'あら.た', 'にい-']	13	['new']	['あせ', 'あたらし', 'し', 'に', 'にっ', 'につ', 'よし']	new	4	2	[]	65B0
場	['ジョウ', 'チョウ']	['ば']	12	['location', 'place']	[]	location	3	2	[]	5834
員	['イン']	[]	10	['employee', 'member', 'number', 'the one in charge']	['いな', 'かず']	employee	3	3	[]	54E1
立	['リットル', 'リツ', 'リュウ']	['-た.つ', '-た.て', '-た.てる', '-だ.て', '-だ.てる', 'た.ち-', 'た.つ', 'た.て-', 'た.てる', 'たて-']	5	['erect', 'rise', 'set up', 'stand up']	['たち', 'たっ', 'たつ', 'だて', 'つい']	stand up	4	1	[]	7ACB
開	['カイ']	['-びら.き', 'あ.く', 'あ.ける', 'ひら.き', 'ひら.く', 'ひら.ける']	12	['open', 'unfold', 'unseal']	['か', 'はる', 'ひらき']	open	3	3	[]	958B
手	['シュ', 'ズ']	['-て', 'た-', 'て', 'て-']	4	['hand']	[]	hand	4	1	[]	624B
力	['リイ', 'リキ', 'リョク']	['ちから']	2	['bear up', 'exert', 'power', 'strain', 'strength', 'strong']	['じから', 'つとむ']	power	3	1	[]	529B
問	['モン']	['と.い', 'と.う', 'とん']	11	['ask', 'problem', 'question']	['はる']	question	3	3	[]	554F
代	['タイ', 'ダイ']	['-が.わり', '-がわ.り', 'か.える', 'か.わり', 'か.わる', 'かわ.り', 'かわ.る', 'しろ', 'よ']	5	['age', 'change', 'charge', 'convert', 'counter for decades of ages, eras, etc.', 'fee', 'generation', 'period', 'rate', 'replace', 'substitute']	['す']	substitute	3	3	[]	4EE3
明	['ミョウ', 'ミン', 'メイ']	['-あ.け', 'あ.かす', 'あ.かり', 'あ.く', 'あ.くる', 'あ.ける', 'あか.らむ', 'あか.るい', 'あか.るむ', 'あき.らか']	8	['bright', 'light']	['あきら', 'あけ', 'あす', 'きら', 'け', 'さや', 'さやか', 'とし', 'はる', 'み', 'め']	bright	3	2	[]	660E
動	['ドウ']	['うご.かす', 'うご.く']	11	['change', 'confusion', 'motion', 'move', 'shake', 'shift']	['るぎ']	move	3	3	[]	52D5
京	['キョウ', 'キン', 'ケイ']	['みやこ']	8	['10**16', 'capital']	['たか']	capital	3	2	[]	4EAC
目	['ボク', 'モク']	['-め', 'ま-', 'め']	5	['care', 'class', 'experience', 'eye', 'favor', 'insight', 'look']	['さかん', 'さがん', 'さっか', 'さつか']	eye	4	1	[]	76EE
通	['ツ', 'ツウ']	['-とお.り', '-どお.し', '-どお.り', 'かよ.う', 'とお.し', 'とお.す', 'とお.り', 'とお.る']	10	['avenue', 'commute', 'counter for letters, notes, documents, etc.', 'pass through', 'traffic']	['とん', 'どうし', 'どおり', 'みち']	traffic	3	2	[]	901A
言	['ゲン', 'ゴン']	['い.う', 'こと']	7	['say', 'word']	['とき']	say	4	2	[]	8A00
理	['リ']	['ことわり']	11	['arrangement', 'justice', 'logic', 'reason', 'truth']	['あや', 'おさむ', 'さと', 'さとる', 'ただ', 'ただし', 'とおる', 'に', 'のり', 'ひ', 'まこと', 'まさ', 'まさし', 'まろ', 'みち', 'よし']	logic	3	2	[]	7406
体	['タイ', 'テイ']	['かたち', 'からだ']	7	['body', 'counter for images', 'object', 'reality', 'substance']	['なり']	body	3	2	[]	4F53
田	['デン']	['た']	5	['rice field', 'rice paddy']	['いなか', 'おか', 'たん', 'で', 'とう', 'や']	rice field	3	1	[]	7530
主	['シュ', 'シュウ', 'ス']	['あるじ', 'おも', 'ぬし']	5	['chief', 'lord', 'main thing', 'master', 'principal']	['かず', 'ず', 'もん']	lord	3	3	[]	4E3B
題	['ダイ']	[]	18	['subject', 'topic']	[]	topic	3	3	[]	984C
意	['イ']	[]	13	['care', 'desire', 'heart', 'idea', 'liking', 'mind', 'taste', 'thought']	['もと', 'よし']	idea	3	3	[]	610F
不	['フ', 'ブ']	[]	4	['bad', 'clumsy', 'negative', 'non-', 'ugly']	[]	negative	3	4	[]	4E0D
作	['サ', 'サク']	['-づく.り', 'つく.り', 'つく.る']	7	['build', 'make', 'prepare', 'production']	['くり', 'さか', 'さっ', 'づくり', 'とも', 'なお', 'はぎ', 'まさか']	make	3	2	[]	4F5C
用	['ヨウ']	['もち.いる']	5	['business', 'employ', 'service', 'use', 'utilize']	['たから']	utilize	3	2	[]	7528
度	['タク', 'ト', 'ド']	['-た.い', 'たび']	9	['attitude', 'consider', 'counter for occurrences', 'degrees', 'occurrence', 'time']	['のり']	degrees	3	3	[]	5EA6
強	['キョウ', 'ゴウ']	['こわ.い', 'し.いる', 'つよ.い', 'つよ.まる', 'つよ.める']	11	['strong']	['すね']	strong	3	2	[]	5F37
公	['ク', 'コウ']	['おおやけ']	4	['governmental', 'official', 'prince', 'public']	['あきら', 'き', 'きみ', 'きん', 'たか', 'ただし', 'とも', 'ひろ', 'まさ']	public	2	2	[]	516C
持	['ジ']	['-も.ち', 'も.つ', 'も.てる']	9	['have', 'hold']	['もち', 'もつ']	hold	3	3	[]	6301
野	['ショ', 'ヤ']	['の', 'の-']	11	['civilian life', 'field', 'plains', 'rustic']	['ずけ', 'つけ', 'ぬ']	plains	3	2	[]	91CE
以	['イ']	['もっ.て']	5	['because', 'by means of', 'compared with', 'in view of']	['もち']	by means of	3	4	[]	4EE5
思	['シ']	['おぼ.す', 'おも.う', 'おもえら.く']	9	['think']	[]	think	3	2	[]	601D
家	['カ', 'ケ']	['いえ', 'うち', 'や']	10	['expert', 'family', 'home', 'house', 'performer', 'professional']	['あり', 'え', 'く', 'つか', 'べ']	house	3	2	[]	5BB6
世	['セ', 'セイ', 'ソウ']	['よ']	5	['generation', 'public', 'society', 'world']	['とし', 'ゆ', 'ゆき']	generation	3	3	[]	4E16
多	['タ']	['おお.い', 'まさ.に', 'まさ.る']	6	['frequent', 'many', 'much']	[]	many	4	2	[]	591A
正	['ショウ', 'セイ']	['ただ.しい', 'ただ.す', 'まさ', 'まさ.に']	5	['10**40', 'correct', 'justice', 'righteous']	['おお', 'くに', 'ただし', 'ま', 'まさし']	correct	3	1	[]	6B63
安	['アン']	['やす', 'やす.い', 'やす.まる', 'やす.らか']	6	['cheap', 'contented', 'low', 'peaceful', 'quiet', 'relax', 'rested']	['あ', 'あす', 'あず', 'あっ', 'や']	relax	4	3	[]	5B89
院	['イン']	[]	10	['Inst.', 'institution', 'mansion', 'school', 'temple']	[]	Inst.	3	3	[]	9662
心	['シン']	['-ごころ', 'こころ']	4	['heart', 'heart radical (no. 61)', 'mind', 'spirit']	[]	heart	3	2	[]	5FC3
界	['カイ']	[]	9	['boundary', 'world']	[]	world	3	3	[]	754C
教	['キョウ']	['おし.える', 'おそ.わる']	11	['doctrine', 'faith', 'teach']	['のり', 'ひさ']	teach	3	2	[]	6559
文	['ブン', 'モン']	['あや', 'ふみ']	4	['art', 'decoration', 'figures', 'literary radical (no. 67)', 'literature', 'plan', 'sentence', 'style']	['かざり', 'ふ', 'も']	sentence	3	1	[]	6587
元	['ガン', 'ゲン']	['もと']	4	['beginning', 'former time', 'origin']	['ちか', 'はじめ', 'はる', 'ゆき', 'よし']	beginning	3	2	[]	5143
重	['ジュウ', 'チョウ']	['え', 'おも', 'おも.い', 'おも.なう', 'おも.り', 'かさ.なる', 'かさ.ねる']	9	['-fold', 'esteem', 'heap up', 'heavy', 'important', 'nest of boxes', 'pile up', 'respect']	['さね', 'しげ', 'しげる']	heavy	3	3	[]	91CD
近	['キン', 'コン']	['ちか.い']	7	['akin', 'early', 'near', 'tantamount']	['おう', 'おお', 'この']	near	3	2	[]	8FD1
考	['コウ']	['かんが.え', 'かんが.える']	6	['consider', 'think over']	['たか']	consider	3	2	[]	8003
画	['エ', 'カイ', 'カク', 'ガ']	['えが.く', 'かぎ.る', 'かく.する', 'はか.る', 'はかりごと']	8	['brush-stroke', 'picture']	[]	brush stroke	3	2	[]	753B
海	['カイ']	['うみ']	9	['ocean', 'sea']	['あ', 'あま', 'うな', 'うん', 'え', 'か', 'た', 'ひろ', 'ひろし', 'ぶ', 'まち', 'まま', 'み', 'め', 'わたる']	sea	3	2	[]	6D77
売	['バイ']	['う.る', 'う.れる']	7	['sell']	['うり', 'うる', 'め']	sell	3	2	[]	58F2
知	['チ']	['し.らせる', 'し.る']	8	['know', 'wisdom']	['さと', 'さとる', 'しり', 'しれ', 'とも', 'のり']	know	3	2	[]	77E5
道	['トウ', 'ドウ']	['いう', 'みち']	12	['course', 'district', 'journey', 'moral', 'road-way', 'street', 'teachings']	['おさむ', 'さ', 'じ', 'ど', 'みつ']	road-way	4	2	[]	9053
集	['シュウ']	['あつ.まる', 'あつ.める', 'つど.う']	12	['congregate', 'flock', 'gather', 'meet', 'swarm']	['あつまり', 'ず']	gather	3	3	[]	96C6
別	['ベツ']	['わ.ける', 'わか.れる']	7	['another', 'branch off', 'diverge', 'extra', 'fork', 'separate', 'specially']	['べっ']	separate	3	4	[]	5225
物	['ブツ', 'モツ']	['もの', 'もの-']	8	['matter', 'object', 'thing']	[]	thing	3	3	[]	7269
使	['シ']	['-つか.い', '-づか.い', 'つか.い', 'つか.う']	8	['ambassador', 'cause', 'envoy', 'messenger', 'order', 'send on a mission', 'use']	[]	use	3	3	[]	4F7F
品	['ヒン', 'ホン']	['しな']	9	['article', 'counter for meal courses', 'dignity', 'goods', 'refinement']	[]	goods	3	3	[]	54C1
計	['ケイ']	['はか.らう', 'はか.る']	9	['measure', 'plan', 'plot', 'scheme']	['え', 'かず', 'け']	plot	3	2	[]	8A08
死	['シ']	['し.に-', 'し.ぬ']	6	['death', 'die']	[]	death	3	3	[]	6B7B
特	['トク']	[]	10	['special']	[]	special	3	4	[]	7279
私	['シ']	['わたくし', 'わたし']	7	['I', 'me', 'private']	[]	private	3	6	[]	79C1
始	['シ']	['-はじ.める', 'はじ.まる', 'はじ.める']	8	['begin', 'commence']	['もと']	commence	3	3	[]	59CB
朝	['チョウ']	['あさ']	12	['(North) Korea', 'dynasty', 'epoch', 'morning', 'period', 'regime']	['あ', 'あそ', 'ささ', 'ちか', 'とも']	morning	3	2	[]	671D
運	['ウン']	['はこ.ぶ']	12	['advance', 'carry', 'destiny', 'fate', 'lot', 'luck', 'progress', 'transport']	[]	carry	3	3	[]	904B
終	['シュウ']	['-お.わる', 'お.える', 'お.わる', 'おわ.る', 'つい', 'つい.に']	11	['end', 'finish']	['ばて']	end	3	3	[]	7D42
台	['タイ', 'ダイ']	['うてな', 'つかさ', 'われ']	5	['a stand', 'counter for machines and vehicles', 'pedestal']	[]	pedestal	3	2	[]	53F0
広	['コウ']	['ひろ.い', 'ひろ.がる', 'ひろ.げる', 'ひろ.まる', 'ひろ.める']	5	['broad', 'spacious', 'wide']	[]	wide	3	2	[]	5E83
住	['ジュウ', 'チュウ', 'ヂュウ']	['-ず.まい', 'す.まう', 'す.む']	7	['dwell', 'inhabit', 'live', 'reside']	['し', 'じゅ', 'すみ']	dwell	3	3	[]	4F4F
真	['シン']	['ま', 'ま-', 'まこと']	10	['Buddhist sect', 'reality', 'true']	['さな', 'さね', 'ただ', 'ただし', 'なお', 'のり', 'まあ', 'まこ', 'まさ', 'まっ', 'まど', 'まな', 'まゆ', 'みち', 'も']	true	3	3	[]	771F
有	['ウ', 'ユウ']	['あ.る']	6	['approx', 'exist', 'happen', 'have', 'occur', 'possess']	['あ', 'あら', 'あり', 'ある', 'くに', 'なお', 'ゆ']	possess	3	3	[]	6709
口	['ク', 'コウ']	['くち']	3	['mouth']	[]	mouth	4	1	[]	53E3
少	['ショウ']	['すく.ない', 'すこ.し']	4	['few', 'little']	[]	few	4	2	[]	5C11
町	['チョウ']	['まち']	7	['block', 'street', 'town', 'village']	[]	village	3	1	[]	753A
料	['リョウ']	[]	10	['fee', 'materials']	[]	fee	3	4	[]	6599
工	['ク', 'グ', 'コウ']	[]	3	['construction', 'craft', 'katakana e radical (no. 48)']	['もく']	craft	3	2	[]	5DE5
建	['ケン', 'コン']	['-だ.て', 'た.つ', 'た.て', 'た.てる']	9	['build']	['たけ', 'たつ', 'たて']	build	3	4	[]	5EFA
空	['クウ']	['あ.き', 'あ.く', 'あ.ける', 'から', 'す.かす', 'す.く', 'そら', 'むな.しい']	8	['empty', 'sky', 'vacant', 'vacuum', 'void']	['うつ', 'き', 'く']	empty	4	1	[]	7A7A
急	['キュウ']	['いそ.ぎ', 'いそ.ぐ', 'せ.く']	9	['emergency', 'hurry', 'steep', 'sudden']	[]	hurry	3	3	[]	6025
止	['シ']	['-さ.し', '-さ.す', '-と.める', '-ど.まり', '-ど.め', '-や.む', 'と.まる', 'と.める', 'とど.まる', 'とど.め', 'とど.める', 'や.む', 'や.める', 'よ.す']	4	['halt', 'stop']	['どめ']	stop	3	2	[]	6B62
送	['ソウ']	['おく.る']	9	['escort', 'send']	[]	escort/send off	3	3	[]	9001
切	['サイ', 'セツ']	['-き.り', '-き.る', '-き.れ', '-き.れる', '-ぎ.り', '-ぎ.れ', 'き.り', 'き.る', 'き.れ', 'き.れる']	4	['be sharp', 'cut', 'cutoff']	['きつ', 'きり', 'ぎり']	cut	3	2	[]	5207
転	['テン']	['うたた', 'うつ.る', 'くる.めく', 'ころ.がす', 'ころ.がる', 'ころ.げる', 'ころ.ぶ', 'まろ.ぶ']	11	['change', 'revolve', 'turn around']	[]	revolve	3	3	[]	8EE2
研	['ケン']	['と.ぐ']	9	['polish', 'sharpen', 'study of']	['のり']	polish	3	3	[]	7814
