kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
祭	['サイ']	['まつ.り', 'まつ.る', 'まつり']	11	['celebrate', 'deify', 'enshrine', 'offer prayers', 'ritual', 'worship']	[]	ritual	2	3	[]	796D
袋	['タイ', 'ダイ']	['ふくろ']	11	['bag', 'pouch', 'sack']	['てい', 'ない', 'ぶく']	sack	2	8	[]	888B
筆	['ヒツ']	['ふで']	12	['handwriting', 'painting brush', 'writing', 'writing brush']	['はじめ']	writing brush	2	3	[]	7B46
訓	['キン', 'クン']	['おし.える', 'くん.ずる', 'よ.む']	10	['Japanese character reading', 'explanation', 'instruction', 'read']	['く', 'くに', 'くの', 'さとし', 'のり', 'ふみ']	instruction	2	4	[]	8A13
浴	['ヨク']	['あ.びせる', 'あ.びる']	10	['bask in', 'bathe', 'be favored with']	['えき', 'さこ']	bathe	2	4	[]	6D74
童	['ドウ']	['わらべ']	12	['child', 'juvenile']	['ぱ']	juvenile	2	3	[]	7AE5
宝	['ホウ']	['たから']	8	['treasure', 'valuables', 'wealth']	['ほ']	treasure	2	6	[]	5B9D
封	['フウ', 'ホウ']	[]	9	['closing', 'seal']	[]	seal	2	8	[]	5C01
胸	['キョウ']	['むな-', 'むね']	10	['bosom', 'breast', 'chest', 'feelings', 'heart']	[]	bosom	2	6	[]	80F8
砂	['サ', 'シャ']	['すな']	9	['sand']	['いさ', 'ご']	sand	2	6	[]	7802
塩	['エン']	['しお']	13	['salt']	[]	salt	2	4	[]	5869
賢	['ケン']	['かしこ.い']	16	['cleverness', 'intelligent', 'wisdom', 'wise']	['かた', 'さか', 'さと', 'さとし', 'たか', 'たて', 'のり', 'まこと', 'まさ', 'まさる']	intelligent	2	8	[]	8CE2
腕	['ワン']	['うで']	12	['ability', 'arm', 'talent']	[]	arm	2	8	[]	8155
兆	['チョウ']	['きざ.し', 'きざ.す']	6	['10**12', 'omen', 'portent', 'sign', 'symptoms', 'trillion']	[]	portent	2	4	[]	5146
床	['ショウ']	['とこ', 'ゆか']	7	['bed', 'counter for beds', 'floor', 'padding', 'tatami']	[]	bed	2	8	[]	5E8A
毛	['モウ']	['け']	4	['down', 'feather', 'fur', 'hair']	['めん', 'も']	fur	2	2	[]	6BDB
緑	['リョク', 'ロク']	['みどり']	14	['green']	[]	green	2	3	[]	7DD1
尊	['ソン']	['たっと.い', 'たっと.ぶ', 'とうと.い', 'とうと.ぶ']	12	['exalted', 'noble', 'precious', 'revered', 'valuable']	['さだ', 'たか', 'たけ', 'みこと']	revered	2	6	[]	5C0A
祝	['シュウ', 'シュク']	['いわ.う']	9	['celebrate', 'congratulate']	['のり', 'ほぎ', 'ゆわい']	celebrate	2	4	[]	795D
